As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting Region,Statistical Area 2,Number of offences,Crime Type,Date
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,No,NT Balance,Gulf,6,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,No,NT Balance,Howard Springs,2,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,No,NT Balance,Humpty Doo,2,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,No,NT Balance,Sandover - Plenty,5,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,No,NT Balance,Tanami,3,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,No,NT Balance,Thamarrurr,3,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,No,NT Balance,Virginia,2,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,No,NT Balance,West Arnhem,2,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,No,NT Balance,Yuendumu - Anmatjere,3,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,No,NT Balance,Unknown ,2,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,Yes,Darwin,,33,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,Yes,Palmerston,,16,Assault,2024-05-01
