As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting Region,Statistical Area 2,Number of offences,Crime Type,Date
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,Yes,Alice Springs,,50,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,Yes,Katherine,,16,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,Yes,Tennant Creek,,11,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,Yes,Nhulunbuy,,1,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,Yes,NT Balance,Alligator,1,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,Yes,NT Balance,Anindilyakwa,5,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,Yes,NT Balance,Barkly,2,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,Yes,NT Balance,Daly,2,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,Yes,NT Balance,East Arnhem,8,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,Yes,NT Balance,Elsey,6,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,Yes,NT Balance,Gulf,13,Assault,2024-05-01
1/04/2026,2024,5,02 Assault,021 Serious Assault,No,Yes,NT Balance,Howard Springs,1,Assault,2024-05-01
